"","wl","temperature","value","hexvis"
"212",411,"1500",0.000155780485703924,"#4A1700"
"213",412,"1500",0.000162872623398708,"#4A1700"
"214",413,"1500",0.000170245929087543,"#4A1700"
"215",414,"1500",0.000177909765852492,"#4A1700"
"216",415,"1500",0.000185873742002372,"#4A1700"
"217",416,"1500",0.000194147715380921,"#4A1700"
"218",417,"1500",0.000202741797694744,"#4A1700"
"219",418,"1500",0.000211666358859829,"#4A1700"
"220",419,"1500",0.000220932031365409,"#4A1700"
"221",420,"1500",0.000230549714653858,"#4A1700"
"222",421,"1500",0.000240530579515378,"#4A1700"
"223",422,"1500",0.000250886072496144,"#4A1700"
"224",423,"1500",0.000261627920318597,"#4A1700"
"225",424,"1500",0.000272768134312537,"#4A1700"
"226",425,"1500",0.000284319014855661,"#4A1700"
"227",426,"1500",0.000296293155822182,"#4A1700"
"228",427,"1500",0.000308703449038105,"#4A1700"
"229",428,"1500",0.000321563088741811,"#4A1700"
"230",429,"1500",0.00033488557604848,"#4A1700"
"231",430,"1500",0.000348684723416944,"#4A1700"
"232",431,"1500",0.000362974659117527,"#4A1700"
"233",432,"1500",0.000377769831699411,"#4A1700"
"234",433,"1500",0.000393085014456053,"#4A1700"
"235",434,"1500",0.000408935309887188,"#4A1700"
"236",435,"1500",0.000425336154155923,"#4A1700"
"237",436,"1500",0.000442303321539415,"#4A1700"
"238",437,"1500",0.000459852928871656,"#4A1700"
"239",438,"1500",0.00047800143997682,"#4A1700"
"240",439,"1500",0.000496765670091655,"#4A1700"
"241",440,"1500",0.000516162790275427,"#4A1700"
"242",441,"1500",0.000536210331805848,"#4A1700"
"243",442,"1500",0.000556926190559461,"#4A1700"
"244",443,"1500",0.000578328631374954,"#4A1700"
"245",444,"1500",0.000600436292397847,"#4A1700"
"246",445,"1500",0.000623268189405018,"#4A1700"
"247",446,"1500",0.000646843720107501,"#4A1700"
"248",447,"1500",0.000671182668430053,"#4A1700"
"249",448,"1500",0.000696305208765862,"#4A1700"
"250",449,"1500",0.000722231910204943,"#4A1700"
"251",450,"1500",0.000748983740734636,"#4A1700"
"252",451,"1500",0.000776582071410596,"#4A1700"
"253",452,"1500",0.000805048680496879,"#4A1700"
"254",453,"1500",0.000834405757573466,"#4A1700"
"255",454,"1500",0.000864675907609719,"#4A1700"
"256",455,"1500",0.000895882155002298,"#4A1700"
"257",456,"1500",0.000928047947575941,"#4A1700"
"258",457,"1500",0.000961197160545644,"#4A1700"
"259",458,"1500",0.000995354100438711,"#4A1700"
"260",459,"1500",0.00103054350897521,"#4A1700"
"261",460,"1500",0.00106679056690525,"#4A1700"
"262",461,"1500",0.00110412089780175,"#4A1700"
"263",462,"1500",0.00114256057180709,"#4A1700"
"264",463,"1500",0.00118213610933223,"#4A1700"
"265",464,"1500",0.00122287448470691,"#4A1700"
"266",465,"1500",0.00126480312977934,"#4A1700"
"267",466,"1500",0.00130794993746422,"#4A1700"
"268",467,"1500",0.00135234326523735,"#4A1700"
"269",468,"1500",0.00139801193857564,"#4A1700"
"270",469,"1500",0.0014449852543412,"#4A1700"
"271",470,"1500",0.00149329298410792,"#4A1700"
"272",471,"1500",0.00154296537742933,"#4A1700"
"273",472,"1500",0.00159403316504646,"#4A1700"
"274",473,"1500",0.00164652756203416,"#4A1700"
"275",474,"1500",0.00170048027088492,"#4A1700"
"276",475,"1500",0.00175592348452853,"#4A1700"
"277",476,"1500",0.0018128898892866,"#4A1700"
"278",477,"1500",0.00187141266776055,"#4A1700"
"279",478,"1500",0.00193152550165195,"#4A1700"
"280",479,"1500",0.00199326257451384,"#4A1700"
"281",480,"1500",0.00205665857443205,"#4A1700"
"282",481,"1500",0.00212174869663514,"#4A1700"
"283",482,"1500",0.00218856864603209,"#4A1700"
"284",483,"1500",0.00225715463967632,"#4A1700"
"285",484,"1500",0.00232754340915511,"#4A1700"
"286",485,"1500",0.00239977220290336,"#4A1700"
"287",486,"1500",0.0024738787884406,"#4A1700"
"288",487,"1500",0.00254990145453008,"#4A1700"
"289",488,"1500",0.00262787901325931,"#4A1700"
"290",489,"1500",0.00270785080204055,"#4A1700"
"291",490,"1500",0.00278985668553084,"#4A1700"
"292",491,"1500",0.00287393705747011,"#4A1700"
"293",492,"1500",0.00296013284243695,"#4A1700"
"294",493,"1500",0.00304848549752077,"#4A1700"
"295",494,"1500",0.00313903701390975,"#4A1700"
"296",495,"1500",0.0032318299183936,"#4A1700"
"297",496,"1500",0.00332690727478041,"#4A1700"
"298",497,"1500",0.00342431268522681,"#4A1700"
"299",498,"1500",0.00352409029148053,"#4A1700"
"300",499,"1500",0.00362628477603506,"#4A1700"
"301",500,"1500",0.00373094136319504,"#4A1700"
"302",501,"1500",0.00383810582005243,"#4A1700"
"303",502,"1500",0.00394782445737238,"#4A1700"
"304",503,"1500",0.00406014413038812,"#4A1700"
"305",504,"1500",0.00417511223950479,"#4A1700"
"306",505,"1500",0.00429277673091093,"#4A1700"
"307",506,"1500",0.00441318609709794,"#4A1700"
"308",507,"1500",0.00453638937728608,"#4A1700"
"309",508,"1500",0.00466243615775732,"#4A1700"
"310",509,"1500",0.0047913765720943,"#4A1700"
"311",510,"1500",0.00492326130132473,"#4A1700"
"312",511,"1500",0.00505814157397126,"#4A1700"
"313",512,"1500",0.00519606916600633,"#4A1700"
"314",513,"1500",0.00533709640071133,"#4A1700"
"315",514,"1500",0.00548127614844056,"#4A1700"
"316",515,"1500",0.00562866182628857,"#4A1700"
"317",516,"1500",0.00577930739766175,"#4A1700"
"318",517,"1500",0.00593326737175333,"#4A1700"
"319",518,"1500",0.00609059680292169,"#4A1700"
"320",519,"1500",0.00625135128997179,"#4A1700"
"321",520,"1500",0.00641558697534001,"#4A1700"
